== PostgreSQL 17.11 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit; prepared; start customers 1..200
orders per start customer: 15..728 (median 36)
query       run      p50      p95      p99
a_q3_hop2     1    0.197    0.597    1.437
a_q3_hop2     2    0.205    0.552    1.247
a_q3_hop2     3    0.192    0.571    1.267
c_q3_hop2     1    0.474    1.404    2.772
c_q3_hop2     2    0.431    1.322    3.014
c_q3_hop2     3    0.419    1.045    2.242
a_q4_hop3     1    0.359    1.100    2.024
a_q4_hop3     2    0.336    0.907    2.405
a_q4_hop3     3    0.331    0.920    1.639
c_q4_hop3     1    0.594    1.865    4.773
c_q4_hop3     2    0.589    2.020    4.193
c_q4_hop3     3    0.583    1.600    4.030
