== PostgreSQL 17.11 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit; mode=prepared N=3000 WARM=300 REPS=3
query                   run      p50      p95      p99     mean  fails
a_q1_fetch                1    0.037    0.048    0.074    0.042      0
a_q1_fetch                2    0.039    0.053    0.103    0.043      0
a_q1_fetch                3    0.036    0.045    0.062    0.038      0
c_q1_fetch                1    0.037    0.047    0.067    0.039      0
c_q1_fetch                2    0.038    0.053    0.096    0.038      0
c_q1_fetch                3    0.038    0.053    0.084    0.042      0
a_q2_hop1                 1    0.040    0.056    0.079    0.042      0
a_q2_hop1                 2    0.041    0.056    0.079    0.043      0
a_q2_hop1                 3    0.042    0.060    0.111    0.046      0
c_q2_hop1                 1    0.059    0.077    0.121    0.067      0
c_q2_hop1                 2    0.058    0.078    0.128    0.062      0
c_q2_hop1                 3    0.058    0.081    0.105    0.061      0
a_q3_hop2                 1    0.063    0.117    0.231    0.071      0
a_q3_hop2                 2    0.061    0.108    0.193    0.068      0
a_q3_hop2                 3    0.064    0.119    0.234    0.073      0
c_q3_hop2                 1    0.092    0.199    0.372    0.107      0
c_q3_hop2                 2    0.092    0.199    0.384    0.109      0
c_q3_hop2                 3    0.091    0.186    0.373    0.105      0
a_q4_hop3                 1    0.079    0.157    0.317    0.096      0
a_q4_hop3                 2    0.080    0.173    0.315    0.096      0
a_q4_hop3                 3    0.078    0.151    0.307    0.088      0
c_q4_hop3                 1    0.113    0.268    0.649    0.138      0
c_q4_hop3                 2    0.109    0.241    0.556    0.133      0
c_q4_hop3                 3    0.109    0.255    0.818    0.140      0
a_q5_range                1    0.113    0.157    0.503    0.134      0
a_q5_range                2    0.111    0.144    0.253    0.127      0
a_q5_range                3    0.109    0.133    0.156    0.111      0
c_q5_range                1    0.105    0.138    0.185    0.108      0
c_q5_range                2    0.115    0.162    0.199    0.121      0
c_q5_range                3    0.101    0.130    0.189    0.104      0
a_q6_update               1    0.253    0.348    0.487    0.265      0
a_q6_update               2    0.242    0.337    0.600    0.261      0
a_q6_update               3    0.248    0.348    0.472    0.262      0
c_q6_update               1    0.260    0.415    0.611    0.285      0
c_q6_update               2    0.259    0.463    0.721    0.294      0
c_q6_update               3    0.294    0.469    0.677    0.310      0
c_q6_update_nojournal     1    0.255    0.383    0.556    0.283      0
c_q6_update_nojournal     2    0.278    0.392    0.511    0.293      0
c_q6_update_nojournal     3    0.232    0.377    0.554    0.260      0
