== PostgreSQL 17.11 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit; mode=prepared N=3000 WARM=300 REPS=3
query                   run      p50      p95      p99     mean  fails
a_q1_fetch                1    0.042    0.054    0.080    0.045      0
a_q1_fetch                2    0.039    0.052    0.080    0.042      0
a_q1_fetch                3    0.039    0.052    0.096    0.043      0
c_q1_fetch                1    0.040    0.051    0.075    0.042      0
c_q1_fetch                2    0.040    0.049    0.064    0.042      0
c_q1_fetch                3    0.042    0.056    0.094    0.045      0
a_q2_hop1                 1    0.044    0.060    0.109    0.047      0
a_q2_hop1                 2    0.044    0.056    0.083    0.048      0
a_q2_hop1                 3    0.044    0.059    0.131    0.050      0
c_q2_hop1                 1    0.069    0.091    0.129    0.074      0
c_q2_hop1                 2    0.068    0.086    0.114    0.071      0
c_q2_hop1                 3    0.068    0.089    0.115    0.072      0
a_q3_hop2                 1    0.073    0.153    0.310    0.086      0
a_q3_hop2                 2    0.073    0.143    0.265    0.084      0
a_q3_hop2                 3    0.080    0.169    0.332    0.097      0
c_q3_hop2                 1    0.123    0.300    0.575    0.148      0
c_q3_hop2                 2    0.123    0.313    0.700    0.152      0
c_q3_hop2                 3    0.131    0.333    0.652    0.161      0
a_q4_hop3                 1    0.116    0.320    0.732    0.151      0
a_q4_hop3                 2    0.094    0.231    0.477    0.114      0
a_q4_hop3                 3    0.092    0.217    0.410    0.113      0
c_q4_hop3                 1    0.140    0.351    0.773    0.174      0
c_q4_hop3                 2    0.134    0.319    0.611    0.159      0
c_q4_hop3                 3    0.140    0.334    0.688    0.169      0
a_q5_range                1    0.377    0.568    0.821    0.395      0
a_q5_range                2    0.362    0.485    0.776    0.369      0
a_q5_range                3    0.347    0.418    0.483    0.344      0
c_q5_range                1    0.480    0.610    1.114    0.490      0
c_q5_range                2    0.525    0.768    0.850    0.552      0
c_q5_range                3    0.491    0.709    0.835    0.499      0
a_q6_update               1    0.385    0.517    0.801    0.407      0
a_q6_update               2    0.363    0.468    0.677    0.378      0
a_q6_update               3    0.365    0.478    0.768    0.399      0
c_q6_update               1    0.274    0.485    0.698    0.310      0
c_q6_update               2    0.260    0.474    0.862    0.305      0
c_q6_update               3    0.240    0.410    0.622    0.273      0
c_q6_update_nojournal     1    0.229    0.332    0.473    0.246      0
c_q6_update_nojournal     2    0.231    0.345    0.511    0.251      0
c_q6_update_nojournal     3    0.208    0.316    0.519    0.233      0
