== PostgreSQL 17.11 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit; mode=prepared N=3000 WARM=300 REPS=3
query                   run      p50      p95      p99     mean  fails
a_q1_fetch                1    0.037    0.051    0.097    0.041      0
a_q1_fetch                2    0.037    0.051    0.089    0.041      0
a_q1_fetch                3    0.037    0.051    0.091    0.041      0
c_q1_fetch                1    0.038    0.050    0.074    0.041      0
c_q1_fetch                2    0.037    0.048    0.070    0.040      0
c_q1_fetch                3    0.037    0.048    0.068    0.040      0
a_q2_hop1                 1    0.040    0.055    0.088    0.044      0
a_q2_hop1                 2    0.039    0.051    0.071    0.042      0
a_q2_hop1                 3    0.043    0.061    0.131    0.050      0
c_q2_hop1                 1    0.063    0.094    0.174    0.069      0
c_q2_hop1                 2    0.061    0.081    0.116    0.065      0
c_q2_hop1                 3    0.061    0.095    0.197    0.069      0
a_q3_hop2                 1    0.062    0.109    0.177    0.068      0
a_q3_hop2                 2    0.060    0.105    0.194    0.067      0
a_q3_hop2                 3    0.061    0.106    0.197    0.068      0
c_q3_hop2                 1    0.099    0.242    0.496    0.121      0
c_q3_hop2                 2    0.097    0.228    0.474    0.116      0
c_q3_hop2                 3    0.096    0.213    0.432    0.113      0
a_q4_hop3                 1    0.088    0.189    0.392    0.104      0
a_q4_hop3                 2    0.076    0.160    0.299    0.089      0
a_q4_hop3                 3    0.080    0.163    0.303    0.095      0
c_q4_hop3                 1    0.117    0.291    0.660    0.145      0
c_q4_hop3                 2    0.119    0.284    0.599    0.151      0
c_q4_hop3                 3    0.118    0.298    0.646    0.145      0
a_q5_range                1    0.114    0.152    0.226    0.121      0
a_q5_range                2    0.113    0.150    0.274    0.120      0
a_q5_range                3    0.109    0.140    0.205    0.112      0
c_q5_range                1    0.112    0.163    0.197    0.118      0
c_q5_range                2    0.099    0.131    0.172    0.101      0
c_q5_range                3    0.099    0.129    0.218    0.103      0
a_q6_update               1    0.340    0.414    0.545    0.353      0
a_q6_update               2    0.224    0.346    0.493    0.264      0
a_q6_update               3    0.209    0.277    0.438    0.226      0
c_q6_update               1    1.061    1.644    2.495    1.142      0
c_q6_update               2    1.003    1.551    2.184    1.090      0
c_q6_update               3    1.031    1.575    2.607    1.124      0
c_q6_update_nojournal     1    0.958    1.257    1.694    1.010      0
c_q6_update_nojournal     2    0.955    1.285    1.611    0.999      0
c_q6_update_nojournal     3    0.951    1.385    2.586    1.051      0
