== PostgreSQL 17.11 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit; mode=simple N=3000 WARM=300 REPS=3
query                   run      p50      p95      p99     mean  fails
a_q1_fetch                1    0.052    0.065    0.089    0.055      0
a_q1_fetch                2    0.052    0.069    0.101    0.056      0
a_q1_fetch                3    0.055    0.073    0.107    0.059      0
c_q1_fetch                1    0.081    0.108    0.150    0.088      0
c_q1_fetch                2    0.083    0.118    0.194    0.094      0
c_q1_fetch                3    0.082    0.106    0.152    0.088      0
a_q2_hop1                 1    0.055    0.072    0.103    0.059      0
a_q2_hop1                 2    0.055    0.073    0.110    0.059      0
a_q2_hop1                 3    0.055    0.073    0.095    0.058      0
c_q2_hop1                 1    0.335    0.471    0.604    0.354      0
c_q2_hop1                 2    0.346    0.492    0.610    0.375      0
c_q2_hop1                 3    0.337    0.484    0.633    0.362      0
a_q3_hop2                 1    0.141    0.240    0.336    0.156      0
a_q3_hop2                 2    0.136    0.204    0.366    0.149      0
a_q3_hop2                 3    0.133    0.202    0.331    0.145      0
c_q3_hop2                 1    0.468    0.648    0.907    0.494      0
c_q3_hop2                 2    0.474    0.695    0.875    0.504      0
c_q3_hop2                 3    0.459    0.632    0.821    0.482      0
a_q4_hop3                 1    0.208    0.343    0.558    0.230      0
a_q4_hop3                 2    0.220    0.377    0.562    0.250      0
a_q4_hop3                 3    0.207    0.352    0.692    0.239      0
c_q4_hop3                 1    0.737    0.967    1.293    0.765      0
c_q4_hop3                 2    0.731    1.058    2.161    0.790      0
c_q4_hop3                 3    0.716    0.985    1.838    0.765      0
a_q5_range                1    0.115    0.150    0.202    0.124      0
a_q5_range                2    0.113    0.142    0.244    0.120      0
a_q5_range                3    0.119    0.166    0.298    0.128      0
c_q5_range                1    0.167    0.288    0.522    0.200      0
c_q5_range                2    0.155    0.223    0.379    0.169      0
c_q5_range                3    0.161    0.300    0.365    0.181      0
a_q6_update               1    0.232    0.340    0.460    0.248      0
a_q6_update               2    0.244    0.378    0.610    0.266      0
a_q6_update               3    0.245    0.358    0.475    0.260      0
c_q6_update               1    0.539    0.808    1.024    0.585      0
c_q6_update               2    0.556    0.856    1.089    0.615      0
c_q6_update               3    0.674    0.874    1.070    0.673      0
c_q6_update_nojournal     1    0.327    0.539    0.654    0.354      0
c_q6_update_nojournal     2    0.274    0.468    0.622    0.300      0
c_q6_update_nojournal     3    0.309    0.510    0.647    0.339      0
