== PostgreSQL 17.11 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit; mode=simple N=3000 WARM=300 REPS=3
query                   run      p50      p95      p99     mean  fails
a_q1_fetch                1    0.052    0.064    0.090    0.054      0
a_q1_fetch                2    0.051    0.064    0.088    0.054      0
a_q1_fetch                3    0.051    0.064    0.097    0.054      0
c_q1_fetch                1    0.081    0.102    0.147    0.086      0
c_q1_fetch                2    0.080    0.096    0.126    0.083      0
c_q1_fetch                3    0.080    0.101    0.165    0.086      0
a_q2_hop1                 1    0.055    0.071    0.100    0.058      0
a_q2_hop1                 2    0.055    0.069    0.094    0.057      0
a_q2_hop1                 3    0.054    0.067    0.094    0.057      0
c_q2_hop1                 1    0.366    0.512    0.573    0.385      0
c_q2_hop1                 2    0.350    0.500    0.554    0.374      0
c_q2_hop1                 3    0.336    0.512    0.600    0.372      0
a_q3_hop2                 1    0.136    0.196    0.320    0.146      0
a_q3_hop2                 2    0.157    0.264    0.568    0.184      0
a_q3_hop2                 3    0.136    0.198    0.316    0.152      0
c_q3_hop2                 1    0.496    0.729    2.466    0.540      0
c_q3_hop2                 2    0.460    0.619    0.779    0.477      0
c_q3_hop2                 3    0.455    0.628    0.857    0.475      0
a_q4_hop3                 1    0.203    0.362    0.579    0.234      0
a_q4_hop3                 2    0.198    0.302    0.480    0.215      0
a_q4_hop3                 3    0.194    0.297    0.432    0.208      0
c_q4_hop3                 1    0.694    0.902    1.299    0.723      0
c_q4_hop3                 2    0.719    0.986    1.594    0.767      0
c_q4_hop3                 3    0.724    0.976    1.344    0.757      0
a_q5_range                1    0.126    0.178    0.213    0.137      0
a_q5_range                2    0.111    0.137    0.176    0.113      0
a_q5_range                3    0.116    0.170    0.205    0.122      0
c_q5_range                1    0.159    0.257    0.309    0.174      0
c_q5_range                2    0.154    0.250    0.317    0.167      0
c_q5_range                3    0.146    0.228    0.313    0.156      0
a_q6_update               1    0.213    0.354    0.499    0.241      0
a_q6_update               2    0.234    0.359    0.572    0.256      0
a_q6_update               3    0.214    0.303    0.445    0.231      0
c_q6_update               1    1.319    1.954    3.038    1.407      0
c_q6_update               2    1.346    1.947    2.886    1.433      0
c_q6_update               3    1.472    2.013    2.807    1.526      0
c_q6_update_nojournal     1    1.091    1.601    1.897    1.155      0
c_q6_update_nojournal     2    1.073    1.536    2.595    1.144      0
c_q6_update_nojournal     3    1.090    1.584    1.790    1.149      0
